user,coaches
Kingsley Kobo,Erol Bulut
Kingsley Kobo,George ?an?mare
Linus Braun,Julio Marcelo Fleitas Silveira
Linus Braun,Diego Omar Dabove
Donat Roduner,Tommy Barrett
Donat Roduner,Roberto Mancini
Donat Roduner,Nelson Alexandre da Silva Veríssimo
Donat Roduner,Wayne Mark Rooney
Donat Roduner,Nigel Clough
Aleksei Blokhin,Henrik Rydström
Aleksei Blokhin,Patrick Glöckner
Aleksei Blokhin,Anthony Hayes
Aleksei Blokhin,Peter Zeidler
Aleksei Blokhin,José María Bianco
Sahil Jaidka,Sébastien Dubroca
Sahil Jaidka,Andy Dawson
Sahil Jaidka,Robin Dutt
Sam France,Rikizo Matsuhashi
Sam France,Carlos González Peña
Joost Berger,Gaute Ugelstad Helstrup
Joost Berger,Oleg Kononov
Phil Kitromilides,Sergio Gómez
Phil Kitromilides,Paul Ince
Phil Kitromilides,Takahiro Shimotaira
Phil Kitromilides,Humberto Antonio García Ramírez
Ben Jermy,Rıza Çalımbay
Ben Jermy,Carlos Julio Bustos
Ben Jermy,Rubén Sellés Salvador
Michael Prasthofer,Antonio Gómez-Carreño Escalona
Michael Prasthofer,Cristóbal Parralo Aguilera
Michael Prasthofer,Jaime de la Pava Márquez
Augusto Rammauro,Declan Devine
Augusto Rammauro,Ian McCall
Augusto Rammauro,Urs Fischer
Augusto Rammauro,Gary Cronin
Augusto Rammauro,Alberto Colombo
Robin Bairner,Kjetil André Rekdal
Robin Bairner,Sandro Wagner
Renuka Odedra,Marco Rose
Renuka Odedra,Jaime Arturo Lozano Espin
Renuka Odedra,Wouter Vrancken
Andrew Beasley,Alex Neil
Andrew Beasley,Kang-Hee Choi
Andrew Beasley,Mattia Croci-Torti
Andrew Beasley,Arthur Thomas Papastamatis
Andrew Beasley,Toni Korkeakunnas
Philipp Ertl,Derrick Pereira
Philipp Ertl,Julien Stéphan
Philipp Ertl,Wilfried Nancy
Emma Smith,Sergio González Soriano
Emma Smith,Steve Cooper
Emma Smith,Junzhe Zhao
Emma Smith,Jordi Vinyals Martori
James Westwood,Claudinei dos Santos Oliveira
James Westwood,Kjetil André Rekdal
James Westwood,Gheorghe Hagi
James Westwood,Steve Cotterill
James Westwood,Eirik Horneland
Wesley Mak,Peter Bosz
Wesley Mak,Paul Heckingbottom
Wesley Mak,Matías Jesús Almeyda
Wesley Mak,Markus Weinzierl
Wesley Mak,Alessio Lisci
Ryan Tolmich,Laurent Batlles
Ryan Tolmich,Jens Tiemann-Gorny
Ryan Tolmich,Troadio Daniel Duarte
Neil Jones,Kim Bergstrand
Neil Jones,Fabio Pecchia
Neil Jones,Dick Schreuder
Neil Jones,Rüdiger Ziehl
Tom Mallows,Marco Rossi
Tom Mallows,Bruno Miguel Silva do Nascimento
Tom Mallows,Jingui Wu
Tom Hooper,Armando Evangelista Macedo Freitas
Tom Hooper,Gilmar Dal Pozzo
Tom Hooper,Ivan Gennaro Gattuso
Tom Hooper,José Ignacio Pallas Martínez
Tom Hooper,Luís Carlos Batalha Freire
Hidde Spaan,Zoran Barišić
Hidde Spaan,Marcelo Daniel Gallardo
Hidde Spaan,Jorge José de Amorim Campos
Hidde Spaan,Fabio Grosso
Hidde Spaan,Arthur Thomas Papastamatis
Josh Hobbs,Fernando Maximiliano Díaz Seguel
Josh Hobbs,Luís Miguel Floro Valença
Josh Hobbs,Adolf Hütter
جول,Aimo Diana
جول,Óscar García Junyent
Dan Marques,Sergio Zarco Diaz
Dan Marques,Naoki Soma
Dan Marques,Henrik Jensen
Dan Marques,Ben Garner
Goal Spain,Jorge Rodrigo Bava
Goal Spain,Juan Domingo Tolisano
Peter Hanson,David Horseman
Peter Hanson,Mário Fernando Magalhães da Silva
Nicholas McGee,Vítor Fernando de Carvalho Campelos
Nicholas McGee,Philippe Hinschberger
More to follow...,Toni Korkeakunnas
More to follow...,Mihailo Petrović
More to follow...,Sergi Barjuán i Esclusa
More to follow...,Aleksandr Storozhuk
Jonny Cooper,Germán Crespo Sánchez
Jonny Cooper,Kang-Hee Choi
Jonny Cooper,Rıza Çalımbay
Jonny Cooper,Tony Docherty
Liam Wraith,Jack Savage
Liam Wraith,Sérgio Paulo Marceneiro Conceição
Liam Wraith,Robert Dante Siboldi Badiola
Oliver Lines,Alexandre Dujeux
Oliver Lines,Juan Carlos Carcedo Mardones
Thiago Fernandes,Leonardo Colucci
Thiago Fernandes,Ertuğrul Seçme
Thiago Fernandes,Torsten Lieberknecht
Thiago Fernandes,Naoki Soma
Thiago Fernandes,Attilio Tesser
Angelica Daujotas,Hiroshi Matsuda
Angelica Daujotas,Renato Manuel Alves Paiva
Angelica Daujotas,Christian Heinle
Tom Middler,Kevin Muscat
Tom Middler,Maciej Stolarczyk
Charlotte Marsh,Juan Máximo Reynoso Guzmán
Charlotte Marsh,Lars Roar Bohinen
Goal Argentina,César Alejandro Farías Acosta
Goal Argentina,Roberto Taurino
Goal Argentina,Mark Bonner
Ronan Murphy,Jacob Neestrup Hansen
Ronan Murphy,Daniel Farke
Ronan Murphy,Giovanni Stroppa
Augusto Oazi,Şenol Can
Augusto Oazi,Andrés Luciano Lillini
Alison Conroy,Régis Brouard
Alison Conroy,Franco Lerda
Alison Conroy,Thomas Letsch
Alison Conroy,Daniel Oldrá
Dev Trehan,Andrey Talalaev
Dev Trehan,Patrick Glöckner
Ruben Uria,M'Baye Leye
Ruben Uria,Santiago Escobar Saldarriaga
Stephen Darwin,Mladen Krstajić
Stephen Darwin,Eduardo Docampo
Peter McVitie,Graham Coughlan
Peter McVitie,Liam Manning
Peter McVitie,Fabio Grosso
Peter McVitie,Kjetil André Rekdal
Gursher Chabba,Frank Schmidt
Gursher Chabba,Fernando Maximiliano Díaz Seguel
Gursher Chabba,Ruslan Rotan
Gursher Chabba,Aurelian Cosmin Olăroiu
Gursher Chabba,Albert Cartier
Harvey Downes,José Ángel Ziganda Lacunza
Harvey Downes,Andreas Tegström
Harvey Downes,Francisco Esteban Arrué Pardo
Harvey Downes,Julien Stéphan
Harvey Downes,Sebastián Beccacece
Jamie Carragher,Jorge Daniel Fossati Lurachi
Jamie Carragher,Xabier Alonso Olano
Jamie Carragher,Martí Cifuentes Corvillo
Jamie Carragher,Freyr Alexandersson
Stanislav Schupp,Víctor Sánchez del Amo
Stanislav Schupp,Liam Manning
Stanislav Schupp,Ramón Ángel Díaz
Stanislav Schupp,Robert Page
Stanislav Schupp,Lionel Sebastián Scaloni
Charlotte Duncker,Steve Komphela
Charlotte Duncker,Hervé Renard
Charlotte Duncker,Luis Marín Camacho
Charlotte Duncker,Alberto Gilardino
Charlotte Duncker,Daniel Thioune
Euan Reedie,Mark Kennedy
Euan Reedie,Alessandro Mangiarratti
Brady Olson,Carlos Alberto Tevez
Brady Olson,Hans-Jürgen Boysen
Brady Olson,Igor Osinkin
Gill Clark,Xabier Alonso Olano
Gill Clark,Omar Daf
Jochen Tittmar,Mifflin Bermúdez Tucto
Jochen Tittmar,André Soares Jardine
Jochen Tittmar,Michele Mignani
Ameé Ruszkai,Johnnie Jackson
Ameé Ruszkai,Jorge Guillermo Almada Álves
Florian Regelmann,Robert Stanton
Florian Regelmann,Luís Carlos Batalha Freire
Florian Regelmann,Steffen Baumgart
Florian Regelmann,Dan Vasile Petrescu
Oliver Yew,Olof Mellberg
Oliver Yew,Muzaffer Bilazer
Oliver Yew,Ivan Vukomanovic
Oliver Yew,Ernesto Valverde Tejedor
Oliver Yew,Roberto D'Aversa
GOAL,Nenad Bjelica
GOAL,Michael Appleton
GOAL,Fabio Cannavaro
GOAL,Ian Dawes
GOAL,Darren Shaun Bazeley
Zinny Boswell,Pablo Peirano Pardeiro
Zinny Boswell,Xavier Hernández Creus
Zinny Boswell,Danny Buijs
Zinny Boswell,Gustavo Álvarez
Francisco RicoRubén Uría,Magnus Haglund
Francisco RicoRubén Uría,Pierre Aristouy
Francisco RicoRubén Uría,Fabrizio Castori
Francisco RicoRubén Uría,Rıza Çalımbay
Marc Mechenoua,Håkon Wibe-Lund
Marc Mechenoua,Jon Brady
Marc Mechenoua,Jonas De Roeck
Marc Mechenoua,Sergej Jakirović
Ali Tweedale,George ?an?mare
Ali Tweedale,David Moyes
Ed Mackey,Olivier Echouafni
Ed Mackey,Leonardo Colucci
Michael Reid,Byung-Geun Lee
Michael Reid,Anders Torstensson
Michael Reid,Giovanni Savarese
Leon Karasch,Ki-Hyeon Seol
Leon Karasch,Nicolas Usaï
Leon Karasch,Francisco Javier Muñoz Llompart
Emin Kaynar,Johnny Jansen
Emin Kaynar,Fabrizio Castori
Emin Kaynar,Graham Alexander
Emin Kaynar,Michél Kniat
Rik Sharma,Luis Alfonso Sosa Cisneros
Rik Sharma,Ralf Rangnick
Stephen Crawford,Fabián Daniel Bustos
Stephen Crawford,José Garijo Nicolás
Stephen Crawford,Bjarte Lunde Aarsheim
Stephen Darwin & Marwan Harraz,Mark Bonner
Stephen Darwin & Marwan Harraz,Kevin Andrew Nicol
James Robson,Johan Javier Fano Espinoza
James Robson,Ertuğrul Seçme
Adam Barnish,José Mel Pérez
Adam Barnish,Derrick Pereira
Adam Barnish,Guillermo Sandro Salas Suarez
Adam Barnish,Paulo César Pezzolano Suárez
Peter McKeever,Torsten Lieberknecht
Peter McKeever,Graham Alexander
Peter McKeever,Juan Carlos Alayo
Nick Hartland,Hélio César Pinto dos Anjos
Nick Hartland,Mauricio Soria Portillo
Nick Hartland,Marco Balbul
Nick Hartland,Didier Santini
Nick Hartland,Pat Noonan
Austin  Ditlhobolo,Bairm Mukhtari
Austin  Ditlhobolo,Olivier Pantaloni
Nick Wright,Fabio Caserta
Nick Wright,Kenta Kawai
Nick Wright,Alessandro Agostini
Jesse Parker Humphreys,Raul Erasto Jacobo Gutierrez
Jesse Parker Humphreys,Toni Koskela
Jesse Parker Humphreys,Lucas Alfredo Bovaglio
Jesse Parker Humphreys,José Mel Pérez
Jesse Parker Humphreys,Javier Baraja Vegas
Spanish Data Insights Team,Markus Schopp
Spanish Data Insights Team,Jacek Zielinski
Spanish Data Insights Team,Kevin Doherty
Jessa Braun,Cătălin Cristian Anghel
Jessa Braun,Jung-Hyo Lee
Jessa Braun,David Horseman
Jessa Braun,Eduardo Rodrigo Domínguez
Jessa Braun,Aleksandar Vukovic
Nino Duit,Joseph Miles
Nino Duit,Álvaro Adriano Teixeira Pacheco
Nino Duit,Adenor Leonardo Bacchi
Nino Duit,Patrick van Leeuwen
Nino Duit,Kevin Doherty
Matt Furniss,Sreto Ristic
Matt Furniss,Galileo Percovich
Matt Furniss,Sergiy Rebrov
Matt Furniss,Sandro Wagner
Cem Ak,Carlos Alberto Tevez
Cem Ak,Wayne Mark Rooney
Cem Ak,Matías Jesús Almeyda
Cem Ak,William Viali
Cem Ak,Gennaro Volpe
Prince Narkortu Teye,José Alí Cañas Navas
Prince Narkortu Teye,Recep Uçar
Kyle Goldsmith,Adrian Mutu
Kyle Goldsmith,Lucien Favre
Tauan Ambrósio,Andrey Talalaev
Tauan Ambrósio,Stephen Robinson
Tauan Ambrósio,Alberto Illanes
Tauan Ambrósio,Radoslav Látal
Dutch Data Insights Team,Jaroslav Šilhavý
Dutch Data Insights Team,Diego Martínez Penas
Kingsley_,António José Marreco Gouveia
Kingsley_,Steffen Baumgart
Kingsley_,Tobias Cramer
Kingsley_,Liviu Ciobotariu
Kingsley_,Joakim Persson
Jon Fisher,Fernando Manuel de Jesus Santos
Jon Fisher,Olivier Guégan
Jon Fisher,Thomas Frank
Jon Fisher,Jacques Abardonado
Jon Fisher,Fernando Diniz Silva
Tim Lutz,Glen Riddersholm
Tim Lutz,Paulo César Turra
Nick Khairi,Nelson Alfonso Flórez Jiménez
Nick Khairi,Jon Dahl Tomasson
Nick Khairi,Enrique Sánchez Flores
Nick Khairi,Luis Francisco Zubeldía
Maram AlBaharna,Francisco Javier Muñoz Llompart
Maram AlBaharna,Norredine El Ouardini
Maram AlBaharna,David Fernando Montoya
Lewis Ambrose,Rob Edwards
Lewis Ambrose,Eddie Howe
Lewis Ambrose,Maximiliano Rama
Kevin Chroust,Conor Nestor
Kevin Chroust,Alexander Blessin
Kevin Chroust,Juan Ferrando Fenol
Dom Farrell,Patrice Carteron
Dom Farrell,Gerardo Daniel Martino
Dom Farrell,Malky Mackay
Dom Farrell,Kevin Maher
Emre Sarıkuş,Thomas Schnöll
Emre Sarıkuş,Bernd Hollerbach
Rob Dorsett,Iván Gabriel Heinze
Rob Dorsett,Rüdiger Ziehl
Rob Dorsett,Semih Keskin
Rob Dorsett,Jack Ross
Ante Jukic,Colin Healy
Ante Jukic,Attilio Tesser
Ante Jukic,Michael Beale
Ante Jukic,Erik ten Hag
Ante Jukic,Adolf Hütter
Michael Madyira,Scott Lindsey
Michael Madyira,Sean Dyche
Michael Madyira,Steve Cotterill
Michael Madyira,Marc Brys
Elyes Khouaja,Christer Mattiasson
Elyes Khouaja,Ivo Ricardo Abreu Vieira
Elyes Khouaja,Jerzy Brzęczek
Joe Gallagher,Patrick Rojas
Joe Gallagher,William Still
Joe Gallagher,Damien Duff
 Alvino Hanafi,Viktor Goncharenko
 Alvino Hanafi,Felice Mazzù
 Alvino Hanafi,Bjarne Berntsen
 Alvino Hanafi,Russell Martin
Georgy Tzepkovsky,Julio Velázquez Santiago
Georgy Tzepkovsky,Henrik Pedersen
Anselm Noronha,Alberto Aquilani
Anselm Noronha,Rigobert Song Bahanag
Anselm Noronha,Brian Priske Pedersen
Prince  Narkortu Teye,Steve Evans
Prince  Narkortu Teye,Callum Davidson
Prince  Narkortu Teye,Martín Alejandro Cardetti
Prince  Narkortu Teye,Michael Köllner
Anthony McLennan,Hiroki Shibuya
Anthony McLennan,George ?an?mare
Anthony McLennan,Hans Erik Ødegaard
Giacomo Zanetello,Miroslav Klose
Giacomo Zanetello,Matjaž Kek
Giacomo Zanetello,Carlos Luis Ischia
Giacomo Zanetello,Ismael Rescalvo Sánchez
Jack Supple,Henrik Pedersen
Jack Supple,Igor Tudor
Jack Supple,Oleg Kononov
Jack Supple,Mihai Doru Pintilii
Alessandro De Felice,Dirk Kuijt
Alessandro De Felice,António José Marreco Gouveia
Alessandro De Felice,Pablo Andrés Sánchez
Joris van den Ban,Kjetil André Rekdal
Joris van den Ban,André Soares Jardine
Joris van den Ban,David Colpaert
Joris van den Ban,Åge Fridtjof Hareide
Justin Kraft,Antônio Carlos Zago
Justin Kraft,Mathieu Chabert
Justin Kraft,Andreas Georgson
Shina Oludare - @sportingshina,Aleksandar Vukovic
Shina Oludare - @sportingshina,William Billy Dodds
Shina Oludare - @sportingshina,Luke Williams
Shina Oludare - @sportingshina,Juan Pablo Vojvoda
Shina Oludare - @sportingshina,Ronald Koeman
Ruben Uria & Adria Soldevila,Pablo Daniel de Muner
Ruben Uria & Adria Soldevila,Marinus Dijkhuizen
Ruben Uria & Adria Soldevila,Hans-Dieter Flick
eugene_vasilev,Matheus Joseph
eugene_vasilev,Cristian Alberto González Peret
eugene_vasilev,Brian Priske Pedersen
eugene_vasilev,Anthony Braizat
eugene_vasilev,Dilceu Junior Rocha
Images via Getty Images,Sébastien Dubroca
Images via Getty Images,Zlatko Dalić
Images via Getty Images,Hervé Renard
Images via Getty Images,Xabier Alonso Olano
Images via Getty Images,Carlos Manuel Brito Leal Queiróz
David Prutton,Christian Ilzer
David Prutton,Laurențiu Aurelian Reghecampf
Solace Chukwu,Tony Popović
Solace Chukwu,Roel Coumans
Solace Chukwu,Johannes Hoff Thorup
Sam McGuire,Sokratis Ofridopoulos
Sam McGuire,Glen Riddersholm
Sam McGuire,Callum Davidson
Sam McGuire,Markus Weinzierl
Sam McGuire,Igor Tudor
Rhys Thomas,Pascal Jansen
Rhys Thomas,Diego Martín Alonso López
Rhys Thomas,Gary McSheffrey
Rhys Thomas,Ryan Mason
Rhys Thomas,Toru Oniki
Ulli Ludwig,Mario Alfredo Salas Saieg
Ulli Ludwig,Olivier Guégan
Ulli Ludwig,Marcio Miranda Freitas Rocha da Silva
Toby Prince,Gerardo Daniel Martino
Toby Prince,Janusz Niedźwiedź
Alex,Marius Marian Croitoru
Alex,José Albano Ferreira da Mota
Sounak Mukhopadhyay,Andrey Talalaev
Sounak Mukhopadhyay,Néstor Raúl Gorosito
Sounak Mukhopadhyay,Noel Sanvicente Bethelmy
Sounak Mukhopadhyay,Serkan Özbalta
Jack Stanley,Pool Geovanny Gavilánez Solís
Jack Stanley,João Miguel da Cunha Teixeira
Jack Stanley,Mark van Bommel
Jack Stanley,Kenta Hasegawa
Ritabrata Banerjee,Malky Mackay
Ritabrata Banerjee,Carlos Alberto Silva Socarrás
The Analyst,Johan Javier Fano Espinoza
The Analyst,Uwe Rösler
The Analyst,Darren Kelly
Charles Watts,Vincent Hognon
Charles Watts,Thomas Thomasberg
Charles Watts,Paolo Bianco
Charles Watts,Ruben Torrecilla Gonzalez
Charles Watts,Steven Hammell
Sohail Shamsudeen,Paulo Lourenço Martins Alves
Sohail Shamsudeen,Marc Brys
Sohail Shamsudeen,Freyr Alexandersson
Sohail Shamsudeen,Murat Yakin
Sohail Shamsudeen,Akio Kogiku
Albert Valor,Xiaorui Zhang
Albert Valor,Felix Sanchez Bas
Albert Valor,Régis Le Bris
Albert Valor,Rogério Mücke Ceni
French Data Insights Team,Nasır Belci
French Data Insights Team,Mark Hughes
French Data Insights Team,Artur Jorge Torres Gomes Araújo Amorim
Manolo Nieto,Gustavo Álvarez
Manolo Nieto,Régis Brouard
Manolo Nieto,Julian Wartig
Manolo Nieto,Torsten Ziegner
Simeon Gholam,Paulo César Pezzolano Suárez
Simeon Gholam,Adnan Čustović
Michael Harringer,Tahsin Tam
Michael Harringer,Tae-Wan Kim
Michael Harringer,Roberto De Zerbi
Michael Harringer,Kim Hellberg
Uttiyo Scarnage,Svetozar Šapurić
Uttiyo Scarnage,Neil Wood
More to follow.,Diego Vicente Aguirre Camblor
More to follow.,Patrick Vieira
Tauan Ambrosio & Thiago Fernandes,Çagdas Atan
Tauan Ambrosio & Thiago Fernandes,László Bölöni
Tauan Ambrosio & Thiago Fernandes,Dawid Szwarga
Carlo,Sergei Semak
Carlo,Sérgio Paulo Marceneiro Conceição
Carlo,Karl Robinson
Carlo,Johnny Jansen
Kosta König,Rıza Çalımbay
Kosta König,Paulo César da Silva Peixoto
Kosta König,Andy Dawson
Fernando Franco Puga,Hiroki Shibuya
Fernando Franco Puga,Régis Le Bris
Fernando Franco Puga,Juan Alejandro Acejo Rodriguez
Fernando Franco Puga,M'Baye Leye
Fernando Franco Puga,Arturo Ernesto Reyes Montero
Harry Carr,Matthew Sadler
Harry Carr,Ivan Jovanović
Harry Carr,José Jeunechamps
Harry Carr,Steve Corica
Richard Morgan,Jon Brady
