user,coaches
Richard Morgan,Guillermo Barros Schelotto
Richard Morgan,Laurent Batlles
Richard Morgan,Lars Roar Bohinen
Richard Morgan,Anthony Hayes
Gabriele Conflitti,Stéphane Masala
Gabriele Conflitti,Eirik Bakke
Gabriele Conflitti,Sang-Sik Kim
Gabriele Conflitti,Tiago Retzalff Nunes
Gabriele Conflitti,Daniel António Lopes Ramos
Marc Mechenoua & Jorge Picon,Juan Carlos Osorio Arbeláez
Marc Mechenoua & Jorge Picon,Joseph Miles
Marc Mechenoua & Jorge Picon,Francisco Javier Arce Rolón
Marc Mechenoua & Jorge Picon,Adenor Leonardo Bacchi
Marc Mechenoua & Jorge Picon,Juan Carlos Alayo
Tom Mortimer,Bruno Grougi
Tom Mortimer,Svein Maalen
Tom Mortimer,Gustavo Adolfo Costas Makeira
Samet Cayir,Nick Cushing
Samet Cayir,Steven Schumacher
Samet Cayir,Cihat Arslan
Raisa Simplicio,Philippe Hinschberger
Raisa Simplicio,Stefan Leitl
Raisa Simplicio,Álvaro Adriano Teixeira Pacheco
Taiye Taiwo,Joey Barton
Taiye Taiwo,Luca D'Angelo
Taiye Taiwo,Ivan Djurdjevic
Taiye Taiwo,Shaun Maloney
Taiye Taiwo,Magnus Powell
Jamie Kemp,Ufuk Talay
Jamie Kemp,Alexandre Dujeux
Tom Victor,Eder Sarabia Armesto
Tom Victor,Cristian Ramon Fiél Casanova
Tom Victor,Nigel Clough
Tom Victor,Önder Karaveli
Ashwin Raman,Sergei Semak
Ashwin Raman,Arnar Viðarsson
Ashwin Raman,Ramón Ángel Díaz
Ashwin Raman,Pablo Peirano Pardeiro
Matt O'Connor-Simpson,Rubén Darío Insúa
Matt O'Connor-Simpson,Sandro Schwarz
Matt O'Connor-Simpson,Olaf Janßen
Bence Bocsák,Ivan Javorcic
Bence Bocsák,Carlos Horacio Compagnucci
Bence Bocsák,Mark van Bommel
Bence Bocsák,Ante Čačić
Bence Bocsák,Gabriel Francisco García de la Torre
Nils Mackay,Aurelio Andreazzoli
Nils Mackay,John Coleman
Nils Mackay,Rustem Khuzin
Nils Mackay,Domenico Di Carlo
Louise Bawden,Luis García Fernández
Louise Bawden,Andreas Tegström
Louise Bawden,Ryan Lowe
Gary Al-Smith,Peter Zeidler
Gary Al-Smith,Scott Lindsey
Gary Al-Smith,Abel Gómez Moreno
Gary Al-Smith,Fernando Estévez Martín
Gary Al-Smith,Mikel Arteta Amatriain
Cady Siregar,Sergio González Soriano
Cady Siregar,Aleksandar Vukovic
.,Jim Goodwin
.,José Flavio Torres Díaz
.,Thiago Motta
.,Frank Kramer
.,Marcos Ignacio Ambriz Espinoza
Anton Toloui,Vincenzo Italiano
Anton Toloui,Francisco Javier Fernández Díaz
Anton Toloui,Danny Hay
Anton Toloui,Jorge Francisco Almirón Quintana
Anton Toloui,Marinus Dijkhuizen
Jonny Whitmore,Adem Caglayan
Jonny Whitmore,Cristiano Marques Gomes
Author not found,Henry Antonio Meléndez Sanchez
Author not found,Gérald Baticle
Author not found,Frank Klopas
Author not found,Miguel Andrés Ponce Torres
Graham Bell,Domenico Di Carlo
Graham Bell,Gérald Baticle
Graham Bell,Hiroshi Matsuda
Graham Bell,Sergio Gómez
Gabriel Beck,Ik-Soo Ahn
Gabriel Beck,Kent Nielsen
Gabriel Beck,Jim Goodwin
Gabriel Beck,Weijian Yang
Andy Cooper,Pablo Horacio Guiñazú
Andy Cooper,Domenico Di Carlo
Ron Walker,Luiz Carlos Cirne Lima de Lorenzi
Ron Walker,Diego Omar Dabove
Ron Walker,Bo Svensson
Ron Walker,Pierre Aristouy
Ron Walker,Neil Wood
Devesh Kumar,Darren Moore
Devesh Kumar,Semih Keskin
Devesh Kumar,Henrik Jensen
Brian McDonnell,Ömer Erdogan
Brian McDonnell,Óscar Alexander Pareja Gómez
Brian McDonnell,Nathan Jones
Brian McDonnell,Pál Dárdai
Brian McDonnell,Christoffer Andersson
Gary Mabbutt,José Jeunechamps
Gary Mabbutt,Gerardo Daniel Martino
Gary Mabbutt,Ruslan Rotan
Patric Ridge,Owen Coyle
Patric Ridge,Leonel Gerardo Vielma Peña
Patric Ridge,Sergej Jakirović
Patric Ridge,Orlando Ribeiro de Oliveira
Simon Jouny,Nicolas Usaï
Simon Jouny,Thomas Wörle
Simon Jouny,Rado Vidošić
Simon Jouny,Carlos Julio Bustos
Seye Omidiora,Alberto Aquilani
Seye Omidiora,Hugo Benjamin Ibarra
Seye Omidiora,Hubert Antonio Bodhert Barrios
Matías Conde,Julian Wartig
Matías Conde,Manuel Alfredo Moquera Bastida
Opta Analyst,Mark Robins
Opta Analyst,Trevor Croly
Michael Yokhin,Jan Stahre
Michael Yokhin,Roger Schmidt
Luke Bissett,Ruslan Rotan
Luke Bissett,Manuel Eduardo Berizzo
Adam Bate,Leandro Daniel Somoza
Adam Bate,Patrick Rahmen
Michael Ellis,Eddie Howe
Michael Ellis,Viktor Goncharenko
Goal,Johnny Jansen
Goal,Laurent Peyrelade
Goal,Dick Lukkien
UK Data Insights Team,Min-Sung Lee
UK Data Insights Team,Hiroki Shibuya
UK Data Insights Team,Hakan Keleş
Redazione Goal Italia,Lucas Andres Nardi
Redazione Goal Italia,Caleb Porter
Redazione Goal Italia,Andrea Mandorlini
Lucca Di Francesco,Troadio Daniel Duarte
Lucca Di Francesco,Peter Pacult
Sacha Pisani,Gerhard Struber
Sacha Pisani,Dan Alexa
Sacha Pisani,Karel Geraerts
Sacha Pisani,Moreno Longo
Jon Manuel,Martín Gastón Demichelis
Jon Manuel,Alexander Ende
Jon Manuel,Niko Kovač
Sean Cole,Luis Marín Camacho
Sean Cole,Ruaidhri Higgins
Sean Cole,Fatih Tekke
Sean Cole,Jin-Seop Park
Sean Cole,Johnnie Jackson
Michael Di Chiaro,Adrian Heath
Michael Di Chiaro,Albert Capellas Herms
Michael Di Chiaro,Julian Nagelsmann
Peter Thompson,Matthew Taylor
Peter Thompson,Gonzalo Pineda Reyes
Peter Thompson,Jan Frode Nornes
Lewis Jones,Sergio Gabriel Rondina
Lewis Jones,Marcelo René Bravo
Lewis Jones,Ole Werner
Paul Merson,Pablo Peirano Pardeiro
Paul Merson,Nicolas Usaï
Paul Merson,Omar De Felippe
Paul Merson,Thomas Stamm
Paul Merson,Lars Vind
Gary Neville,Rafael Benítez Maudes
Gary Neville,Xueyu Liu
Gary Neville,Alan Reynolds
Al Duffy,Tore Andre Flo
Al Duffy,Paulo Alexandre Rodrigues Fonseca
Al Duffy,Jim Bentley
Al Duffy,Roberto Mancini
Al Duffy,Joakim Persson
Matthew Hayes,Vincenzo Vivarini
Matthew Hayes,David Wagner
Matthew Hayes,Gérald Baticle
Matthew Hayes,Scott Brown
Christian Schmidt,Roberto Martínez Montoliú
Christian Schmidt,Fabián Daniel Bustos
Christian Schmidt,José Néstor Pekerman
Christian Schmidt,Vanderlei Luxemburgo da Silva
Christian Schmidt,Julio César Vaccari
Rob Bateman,Hui Xie
Rob Bateman,Oleksandr Petrakov
Rob Bateman,Steve Cotterill
Rob Bateman,Robin Fraser
Jorge C. Picón,Paulo Alexandre Rodrigues Fonseca
Jorge C. Picón,Roman Sharonov
Jorge C. Picón,Julio César Vaccari
Jorge C. Picón,Sebastiano Siviglia
Oli Platt,Jindřich Trpišovský
Oli Platt,Bülent Korkmaz
Oli Platt,Oleg Vasilenko
Oli Platt,Leonid Slutskiy
Oli Platt,Pat Devlin
Kiplagat Sang,Miguel Rondelli
Kiplagat Sang,Henk Fraser
Kiplagat Sang,Cihat Arslan
Orlando Valman,Jacques Abardonado
Orlando Valman,Joseph Oosting
Eddy Frankel,Richard Beale
Eddy Frankel,Humberto Viviani Ribera
Eddy Frankel,Marko Ante Rudan
Eddy Frankel,Didier Santini
Declan Olley,Hans Erik Ødegaard
Declan Olley,Gerald Scheiblehner
Declan Olley,Mikael Stahre
Declan Olley,Rolando Hernán Cristante Mandarino
Kerry Hau,Juan Domingo Tolisano
Kerry Hau,Angelos Postecoglou
Dan Bernstein,Derek Adams
Dan Bernstein,Christian Järdler
Gonzalo Garcia,Steven MacLean
Gonzalo Garcia,Jacques Abardonado
Gonzalo Garcia,Gustavo Adolfo Costas Makeira
Gonzalo Garcia,Geir Bakke
Gonzalo Garcia,Raffaele Palladino
Alex Keble,Mariano Soso
Alex Keble,Ante Milicic
Alex Keble,Nelson Alfonso Flórez Jiménez
Adrià Soldevila & Ruben Uria,Rubén Darío Insúa
Adrià Soldevila & Ruben Uria,Wim Jonk
Yeun Au,Rodolfo De Paoli
Yeun Au,Jin-Seop Park
Yeun Au,Mattias Lindström
Yeun Au,Ivan Leko
Mario Cortegana,Andrés Luciano Lillini
Mario Cortegana,Thomas Frank
Sungmo Lee,Alain Negre
Sungmo Lee,Ivan Gennaro Gattuso
Sungmo Lee,Michél Kniat
Sungmo Lee,John Herdman
Sungmo Lee,Sergio Gómez
Nathan Evans,Alexandre Dujeux
Nathan Evans,Ik-Soo Ahn
Mudeet Arora,Dariusz Dudek
Mudeet Arora,Roman Sharonov
Adam Smith,Freyr Alexandersson
Adam Smith,Cihat Arslan
Adam Smith,Şenol Can
Adam Smith,Marcelo René Bravo
Adam Smith,Jens Härtel
Jordi Tomasowa,João Batista Donizete Dressler Burse
Jordi Tomasowa,Pablo Adrián Guede Barriero
Seth Vertelney,Erik ten Hag
Seth Vertelney,Nelson Alfonso Flórez Jiménez
Seth Vertelney,Gary McSheffrey
Chris Myson,Torsten Ziegner
Chris Myson,Giancarlo Italiano
Chris Myson,Kevin Andrew Nicol
Chris Myson,César Fernando Torres Ramírez
James Westwoood,Guillermo Barros Schelotto
James Westwoood,Markus von Ahlen
Manager: Roy Hodgson 5,Matheus Joseph
Manager: Roy Hodgson 5,Alexis Enrique García Vega
Manager: Roy Hodgson 5,Enrique López Zarza
Manager: Roy Hodgson 5,Morten Jensen
Manager: Roy Hodgson 5,Dick Lukkien
Mia Eriksson,Chris Hargreaves
Mia Eriksson,Raúl Agné Montull
Mia Eriksson,Sergio Francisco Ramos
Mia Eriksson,Nigel Clough
Mia Eriksson,Mariusz Lewandowski
Tom Patey,Markus Weinzierl
Tom Patey,Asier Garitano Aguirrezábal
Tom Patey,Lewis Jack Young
Tom Patey,Patrick Kisnorbo
Tom Patey,Juan José Rojo Martín
Gareth Boyes,Paul Nelu Răducan
Gareth Boyes,Tae-Wan Kim
Gareth Boyes,Óscar García Junyent
Johannes Ohr,Federico Vilar Baudena
Johannes Ohr,Jon Andoni Pérez Alonso
Johannes Ohr,Vítor Fernando de Carvalho Campelos
Johannes Ohr,Víctor Manuel Vucetich Rojas
Raisa Simplicio & Thiago Fernandes,Michael Appleton
Raisa Simplicio & Thiago Fernandes,Juan Ferrando Fenol
Raisa Simplicio & Thiago Fernandes,Alexi Stival
Nisanth V Easwar,Arturo Ernesto Reyes Montero
Nisanth V Easwar,Lee Johnson
Nisanth V Easwar,Albert Cartier
Nisanth V Easwar,Clint Peay
Nisanth V Easwar,Marinus Dijkhuizen
Mark Buckingham,Chris Hughton
Mark Buckingham,Nenad Bjelica
Soham Mukherjee,Juan José Maqueda
Soham Mukherjee,Edgar Ospina Echeverry
Soham Mukherjee,Dick Schreuder
Soham Mukherjee,Micky Mellon
Francisco RicoAdria Soldevilla,Leonardo Carol Madelón
Francisco RicoAdria Soldevilla,Myung-Bo Hong
Francisco RicoAdria Soldevilla,Enrique López Zarza
Francisco RicoAdria Soldevilla,Jan Zimmermann
Francisco RicoAdria Soldevilla,Jonas De Roeck
Chris Burton,Mattias Lindström
Chris Burton,Naoki Soma
Chris Burton,Raúl Agné Montull
Chris Burton,Mauro Nestor Gerk Larrea
Chris Burton,Gerhard Kleppinger
Liam Cody,Olivier Guégan
Liam Cody,Ufuk Talay
Liam Cody,Nebojša Vučićević
Liam Cody,Mersad Selimbegovic
Rich Laverty,Muzaffer Bilazer
Rich Laverty,Lukas  Pfeiffer
Rich Laverty,Juan Carlos Alayo
Antonio Bini,Paulo César Turra
Antonio Bini,Sean Dyche
Antonio Bini,Francisco Meneghini
Daniel Lewis,Alex Pastoor
Daniel Lewis,Lars Arne Nilsen
Daniel Lewis,Jorge Romero Sáez
Seth Willis,Hiroki Shibuya
Seth Willis,Krešimir Režić
Richard Martin,Vincent Euvrard
Richard Martin,Fernando Manuel Fernandes da Costa Santos
Charlotte Duncker & Chris Burton,Pavol Stano
Charlotte Duncker & Chris Burton,Fernando Rubén Gago
Charlotte Duncker & Chris Burton,Andreas Brännström
Charlotte Duncker & Chris Burton,Fernando Jubero Carmona
Charlotte Duncker & Chris Burton,Thomas Frank
GFFN | Jack McArdle,Valeriy Karpin
GFFN | Jack McArdle,Steven Gerrard
GFFN | Jack McArdle,Arnar Viðarsson
GFFN | Jack McArdle,Servet Çetin
GFFN | Jack McArdle,Tiago Retzalff Nunes
Chris Mayer,Liam Manning
Chris Mayer,Massimiliano Alvini
Nizaar Kinsella,Oleg Vasilenko
Nizaar Kinsella,Sascha Hildmann
Nizaar Kinsella,Grant McCann
Shina Oludare & Emma Smith,José Daniel Carreño Izquierdo
Shina Oludare & Emma Smith,Krzysztof  Pawlak
Marcelo Hazan,Ian Burchnall
Marcelo Hazan,Roberto Pätzold
Marcelo Hazan,Mario Humberto García Caboara
Marcelo Hazan,Julián Calero Fernández
Marcelo Hazan,Joe Zinnbauer
Simone Gambino,Bernd Hollerbach
Simone Gambino,Rubén Sellés Salvador
Simone Gambino,Pablo Adrián Guede Barriero
Simone Gambino,Troy Lesesne
Rubén Uría,Matthias Jaissle
Rubén Uría,Marko Ante Rudan
Mike Gibbons,Byung-Geun Lee
Mike Gibbons,Carlos Luis Ischia
Bastien Cheval,William Viali
Bastien Cheval,Ruben Filipe Marques Amorim
David Segar,Carl Hoefkens
David Segar,Tobias Schweinsteiger
David Segar,Christer Mattiasson
David Segar,Gi-Dong Kim
David Segar,Walid Regragui
Cesar Hurtado,Pablo Horacio Guiñazú
Cesar Hurtado,Ivan Leko
Cesar Hurtado,Jim Bentley
Cesar Hurtado,Wilfried Nancy
Cesar Hurtado,Ricardo Alfredo Valiño
Giorgio Dusi,Maurizio Sarri
Giorgio Dusi,Juan Pedro Benali
Giorgio Dusi,Håkon Wibe-Lund
Giorgio Dusi,Murat Yakin
Giorgio Dusi,Michael O'Neill
Karl Sturgeon,José Ángel Ziganda Lacunza
Karl Sturgeon,Russell Milton
Karl Sturgeon,Pellegrino Matarazzo
Karl Sturgeon,Radoslav Látal
Michel Jreissati,Gary Bowyer
Michel Jreissati,Lucas Palavro Zanella
Ed Dove,Alexander Blessin
Ed Dove,Marcio Miranda Freitas Rocha da Silva
Ed Dove,Aurelio Andreazzoli
Ed Dove,Patrick McCarthy
Ed Dove,Fabio Caserta
Charles Watts & Ruben Uria,Bruno Grougi
Charles Watts & Ruben Uria,Johannes Hoff Thorup
Charles Watts & Ruben Uria,Jingui Wu
Charles Watts & Ruben Uria,Martin Skogman
Tadasuke Uemura,Marcio Miranda Freitas Rocha da Silva
Tadasuke Uemura,Shaun Maloney
Tadasuke Uemura,Mohammed Al-Ayari
Tadasuke Uemura,António José Cardoso de Oliveira
Tadasuke Uemura,Tae-Wan Kim
Lukas Vrablik,Marinus Dijkhuizen
Lukas Vrablik,Eder Sarabia Armesto
Duncan Alexander,Gustavo Enrique Domingo Quinteros Desábato
Duncan Alexander,John Mousinho
Oliver Hopkins,Edin Terzic
Oliver Hopkins,Alessandro Mangiarratti
Oliver Hopkins,Francisco Javier Arce Rolón
James Nalton,Luis Oscar González
James Nalton,Şenol Can
James Nalton,Philippe Hinschberger
James Nalton,José Mel Pérez
Jake Lewis,João Miguel da Cunha Teixeira
Jake Lewis,Martín Gastón Demichelis
Jake Lewis,Jack Ross
Jake Lewis,Denis Popov
Jake Lewis,Okan Buruk
Jake Lewis,Edgar Ospina Echeverry
Jake Lewis,Edoardo Gorini
Jake Lewis,Hui Xie
Jake Lewis,Jose Riveiro
Jake Lewis,Olivier Dall’Oglio
Jake Lewis,Jonas De Roeck
Jake Lewis,John Herdman
Jake Lewis,Henrik Hansen
Jake Lewis,Svein Maalen
Jake Lewis,Eder Sarabia Armesto
Jake Lewis,Necdet Emre Özbayer
Jake Lewis,Oliver Glasner
Jake Lewis,Mehdi Nafti
Jake Lewis,Jon Dahl Tomasson
Jake Lewis,David Moyes
Jake Lewis,Wayne Mark Rooney
Jake Lewis,Christoph Dabrowski
Jake Lewis,Ernesto Valverde Tejedor
Jake Lewis,Vicente Moreno Peris
Jake Lewis,Jacob Friis
Jake Lewis,Bjarte Lunde Aarsheim
Jake Lewis,Paulo César da Silva Peixoto
Jake Lewis,Francesco Baldini
Jake Lewis,Didier Digard
Jake Lewis,Jorge Alberto Lobo Mendonça
Jake Lewis,Leonardo Colucci
Jake Lewis,Damien Duff
Jake Lewis,Malky Mackay
Jake Lewis,Jan Zimmermann
Jake Lewis,Rudi Garcia
Jake Lewis,Igor Tudor
Jake Lewis,Andreas Tegström
Jake Lewis,Jarosław Skrobacz
Jake Lewis,Aitor Karanka de la Hoz
Jake Lewis,Bruno Miguel Silva do Nascimento
Jake Lewis,Claus-Dieter Wollitz
Jake Lewis,Alper Kayabunar
Jake Lewis,Rui Manuel Gomes Borges
Jake Lewis,Kent Nielsen
Jake Lewis,Troadio Daniel Duarte
Jake Lewis,Henrik Pedersen
Jake Lewis,Alex Pastoor
Jake Lewis,Lukas  Pfeiffer
Jake Lewis,Juan Carlos Carcedo Mardones
Jake Lewis,Steve Cotterill
Jake Lewis,Matteo Vanetta
Jake Lewis,Marco Balbul
Jake Lewis,Sergio Gómez
Jake Lewis,Ricardo Rodríguez Suárez
Jake Lewis,Mark Hughes
Jake Lewis,Jakob Michelsen
Jake Lewis,Aleksandar Stanojević
Jake Lewis,Jordi Vinyals Martori
Jake Lewis,Facundo Sava
Jake Lewis,Cristiano Lucarelli
Jake Lewis,Kevin Muscat
Jake Lewis,Raffaele Palladino
Jake Lewis,Lee Bell
Jake Lewis,Daiki Iwamasa
Jake Lewis,Xavier Hernández Creus
Jake Lewis,Kelvin Davis
Jake Lewis,Philippe Montanier
Jake Lewis,Joseba Andoni Etxeberria Lizardi
Jake Lewis,Thomas Frank
Jake Lewis,Stuart Taylor
Jake Lewis,Rogier Meijer
Jake Lewis,Claudinei dos Santos Oliveira
Jake Lewis,Jerzy Brzęczek
Jake Lewis,Alain Pochat
Jake Lewis,Juan Francisco Palencia Hernández
Jake Lewis,Niels Frederiksen
Jake Lewis,Dariusz Zuraw
Jake Lewis,Graham Potter
Jake Lewis,Anton Petrea
Jake Lewis,Gregg Berhalter
Jake Lewis,Rui Vítor da Silva Ferreira
Jake Lewis,Jan Urban
Jake Lewis,Steven Cherundolo
Jake Lewis,Sreto Ristic
Jake Lewis,José María Morr
Jake Lewis,Tobias Schweinsteiger
Jake Lewis,Javier Baraja Vegas
Jake Lewis,Matías Jesús Almeyda
Jake Lewis,Fabien Valeri
Jake Lewis,Andrea Soncin
Jake Lewis,Ivan Juric
Jake Lewis,Luis Enrique Martínez García
Jake Lewis,Rui Carlos Pinho da Vitória
Jake Lewis,Martin Skogman
Jake Lewis,Valeriy Karpin
Jake Lewis,Ben Garner
Jake Lewis,Julio César Falcioni
Jake Lewis,Kemal Özdeş
Jake Lewis,Felice Mazzù
Jake Lewis,Hugo Carlos Rodrigues Ganchinho Pereira
